Plek,Wijk,Postcode,Plaatsnaam,Prijs,Oppervlakte,Kamers,Interieur,Link,AangebodenSinds,Beschikbaarheid,Woningtype,Bouwjaar,Parkeren,Updated,Status
Blekerswegje,Bagijneweide,8021 AH,Zwolle,990,52,2.0,Kaal,https://www.huurwoningen.nl/huren/zwolle/1324193/blekerswegje/,10-11-2022,Per 01-12-2022,Appartement,2020.0,Nee,2022-11-20,Active
Oudenoord,Pijlsweerd-Noord,3513 EX,Utrecht,1395,46,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/utrecht/1324192/oudenoord/,10-11-2022,Per 01-01-2023,Appartement,1951.0,Ja,2022-11-20,Active
Zuidhoek,Oud Charlois,3082 PD,Rotterdam,1430,120,4.0,,https://www.huurwoningen.nl/huren/rotterdam/1324190/zuidhoek/,10-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
Neptunusstraat,De Overlaet-West,5241 JR,Rosmalen,1350,134,5.0,Gestoffeerd,https://www.huurwoningen.nl/huren/rosmalen/1324189/neptunusstraat/,10-11-2022,Per direct,Huis,1988.0,Nee,2022-11-20,Active
Verlengde Statenlaan,Bosch Paleiskwartier,5223 LD,Den Bosch,1400,82,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/den-bosch/1324188/verlengde-statenlaan/,10-11-2022,Per direct,Appartement,2002.0,Nee,2022-11-20,Active
Putstraat,Sittard-Centrum,6131 HJ,Sittard,695,30,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/sittard/1324184/putstraat/,10-11-2022,Per direct,Studio,,Nee,2022-11-20,Active
Faktorij,'t Rak-Noord,1825 HD,Alkmaar,1250,118,5.0,Gestoffeerd,https://www.huurwoningen.nl/huren/alkmaar/1324182/faktorij/,10-11-2022,Per direct,Huis,1982.0,Nee,2022-11-20,Active
Tuinfluiter,Niedorp Nieuwe Niedorp Dorpsstraat e.o.,1733 BB,Nieuwe Niedorp,1400,154,6.0,,https://www.huurwoningen.nl/huren/nieuwe-niedorp/1324181/tuinfluiter/,10-11-2022,Per direct,Huis,2003.0,Nee,2022-11-20,Active
Jufferstraat,Stadsdriehoek,3011 XM,Rotterdam,2750,120,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1324180/jufferstraat/,10-11-2022,Per direct,Appartement,2008.0,Nee,2022-11-20,Active
Hoge Boezem,Kralingen West,3061 CM,Rotterdam,1320,95,3.0,Kaal,https://www.huurwoningen.nl/huren/rotterdam/1324179/hoge-boezem/,10-11-2022,Per 01-02-2023,Appartement,2004.0,Nee,2022-11-20,Active
Müllerkade,Schiemond,3024 EP,Rotterdam,2195,86,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1324178/muellerkade/,10-11-2022,Per 02-01-2023,Appartement,2005.0,Nee,2022-11-20,Active
Lange Heul,Wester Eng,1403 PA,Bussum,1325,67,3.0,,https://www.huurwoningen.nl/huren/bussum/1324175/lange-heul/,10-11-2022,Per 22-11-2022,Appartement,1965.0,Nee,2022-11-20,Active
Keinsmerwiel,Oostertocht,1705 GJ,Heerhugowaard,1850,115,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/heerhugowaard/1324172/keinsmerwiel/,10-11-2022,Per 16-01-2023,Huis,1997.0,Nee,2022-11-20,Active
Lonerstraat,Schildersbuurt,9403 EP,Assen,265,97,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/assen/1324171/lonerstraat/,10-11-2022,Per direct,Huis,,Ja,2022-11-20,Active
Breedstraat,Binnenstad,1441 CB,Purmerend,750,21,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/purmerend/1324169/breedstraat/,10-11-2022,Per direct,Kamer,,Nee,2022-11-20,Active
Hoofdstraat,Meedhuizen,9937 PB,Meedhuizen,265,70,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/meedhuizen/1324168/hoofdstraat/,10-11-2022,Per direct,Appartement,,Ja,2022-11-20,Active
Warande,Rubroek,3031 PX,Rotterdam,1550,70,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1324167/warande/,10-11-2022,Per direct,Appartement,,Ja,2022-11-20,Active
Voltastraat,Wittevrouwenveld,6224 EM,Maastricht,1275,56,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/maastricht/1324165/voltastraat/,10-11-2022,Per 01-12-2022,Appartement,2021.0,Ja,2022-11-20,Active
Hessenweg,Heemse-Oost Heemsermars,7771 CH,Hardenberg,1054,72,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/hardenberg/1324164/hessenweg/,10-11-2022,Per 01-02-2023,Appartement,2022.0,Ja,2022-11-20,Active
Karveel 55,Karveel West,8242 XR,Lelystad,1150,105,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/lelystad/1324163/karveel-55/,10-11-2022,Per 01-12-2022,Huis,1977.0,Ja,2022-11-20,Active
Centrumweg,Opende-West,9865 BA,Opende,250,90,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/opende/1324162/centrumweg/,10-11-2022,Per direct,Huis,,Nee,2022-11-20,Active
Ommelandenweg,Uithuizen,9981 GK,Uithuizen,410,86,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/uithuizen/1324156/ommelandenweg/,10-11-2022,Per direct,Huis,,Nee,2022-11-20,Active
Robbeplaat,Zandplatenbuurt,9931 CS,Delfzijl,250,126,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/delfzijl/1324155/robbeplaat/,10-11-2022,Per direct,Huis,,Nee,2022-11-20,Active
Brummelkamp,Gieten,9461 JN,Gieten,250,70,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/gieten/1324154/brummelkamp/,10-11-2022,Per direct,Huis,,Nee,2022-11-20,Active
Wilgenhof,Uithuizen,9981 KJ,Uithuizen,250,108,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/uithuizen/1324153/wilgenhof/,10-11-2022,Per direct,Huis,,Nee,2022-11-20,Active
Sint-Jacobstraat,Stadsdriehoek,3011 DK,Rotterdam,2200,110,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1324152/sint-jacobstraat/,10-11-2022,Per 09-01-2023,Appartement,1981.0,Nee,2022-11-20,Active
Haverstraat,Sevenum,5975 CS,Sevenum,900,94,4.0,Kaal,https://www.huurwoningen.nl/huren/sevenum/1324150/haverstraat/,10-11-2022,Per direct,Appartement,2015.0,Ja,2022-11-20,Active
Pastoor Habetsstraat,Brusselsepoort,6217 KM,Maastricht,760,22,1.0,Gemeubileerd,https://www.huurwoningen.nl/huren/maastricht/1324149/pastoor-habetsstraat/,10-11-2022,Per 01-12-2022,Studio,,Ja,2022-11-20,Active
Rijnstraat,Rijnbuurt,1079 HV,Amsterdam,3800,170,5.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1324148/rijnstraat/,10-11-2022,Per 15-01-2023,Appartement,,Nee,2022-11-20,Active
Kortenhoefsedijk,Oud-Kortenhoef,1241 NB,Kortenhoef,1135,102,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/kortenhoef/1324147/kortenhoefsedijk/,10-11-2022,Per 01-12-2022,Huis,1930.0,Ja,2022-11-20,Active
Thorbeckestraat,Overhoven,6136 DD,Sittard,920,83,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/sittard/1324146/thorbeckestraat/,10-11-2022,Per 01-01-2023,Appartement,1982.0,Ja,2022-11-20,Active
Liebergerweg,Kleine Driftbuurt,1221 JR,Hilversum,995,40,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/hilversum/1324145/liebergerweg/,10-11-2022,Per 01-01-2023,Appartement,1930.0,Nee,2022-11-20,Active
Bernhardlaan,Centrum Oost 3,4872 BR,Etten-Leur,1150,92,3.0,Kaal,https://www.huurwoningen.nl/huren/etten-leur/1324144/bernhardlaan/,10-11-2022,Per 02-01-2023,Appartement,,Ja,2022-11-20,Active
Boxtelsebaan,omg. Boxtelsebaan/Waterhoef,5061 VA,Oisterwijk,500,20,1.0,,https://www.huurwoningen.nl/huren/oisterwijk/1324141/boxtelsebaan/,10-11-2022,Per direct,Kamer,,Nee,2022-11-20,Active
Breitnerlaan,Scherpdeel,4703 JT,Roosendaal,985,65,3.0,Kaal,https://www.huurwoningen.nl/huren/roosendaal/1323376/breitnerlaan/,10-11-2022,Per 01-01-2023,Appartement,1965.0,Nee,2022-11-20,Active
Mathenesserlaan,Middelland,3021 HC,Rotterdam,1650,65,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1324139/mathenesserlaan/,10-11-2022,Per direct,Appartement,,Ja,2022-11-20,Active
Antwerpsestraatweg,op Zoom Nieuw Borgvliet,4625 AH,Bergen op Zoom,995,84,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/bergen-op-zoom/1324137/antwerpsestraatweg/,10-11-2022,Per 01-12-2022,Huis,1922.0,Ja,2022-11-20,Active
Europaweg,Stadscentrum,2711 EP,Zoetermeer,870,50,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/zoetermeer/1324136/europaweg/,10-11-2022,Per direct,Appartement,,Ja,2022-11-20,Active
Europaweg,Stadscentrum,2711 EP,Zoetermeer,870,47,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/zoetermeer/1324135/europaweg/,10-11-2022,Per direct,Appartement,,Ja,2022-11-20,Active
Grotestraat,Centrum Ede,6711 AM,Ede,660,22,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/ede/1324112/grotestraat/,10-11-2022,Per direct,Appartement,2021.0,Nee,2022-11-20,Active
de Koppele,Vaartbroek,5632 LN,Eindhoven,1895,81,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/eindhoven/1324070/de-koppele/,10-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
T.G. Gibsonstraat,Noordenbergsingel,7411 RN,Deventer,850,48,1.0,Kaal,https://www.huurwoningen.nl/huren/deventer/1324050/t-g-gibsonstraat/,10-11-2022,Per 01-01-2023,Studio,1900.0,Nee,2022-11-20,Active
Kolhornkade,Zuiderzeestedenbuurt-Oost,3826 AD,Amersfoort,1900,180,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amersfoort/1236367/kolhornkade/,10-11-2022,Per direct,Huis,,Nee,2022-11-20,Active
Elandstraat,Kralingseveer,3064 AH,Rotterdam,1100,60,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/rotterdam/1227061/elandstraat/,10-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Het Bat,Valkenburg,6301 DE,Valkenburg,1200,155,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/valkenburg-lb/1187199/het-bat/,10-11-2022,Per 01-01-2023,Huis,2019.0,Ja,2022-11-20,Active
Toscane,Geleen-Noord,6162 KD,Geleen,1150,65,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/geleen/1324128/toscane/,10-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Bovenkerkweg,Montfoort,3417 TA,Montfoort,2995,282,5.0,Gemeubileerd,https://www.huurwoningen.nl/huren/montfoort/1324127/bovenkerkweg/,10-11-2022,Per direct,Huis,2013.0,Nee,2022-11-20,Active
Bodegraafsestraatweg,Ouwe Gouwe,2805 GK,Gouda,1195,59,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/gouda/1324126/bodegraafsestraatweg/,10-11-2022,Per 02-01-2023,Appartement,1979.0,Nee,2022-11-20,Active
Noordelijke Parallelweg,Heijenoord,6813 DB,Arnhem,535,17,,Kaal,https://www.huurwoningen.nl/huren/arnhem/1324123/noordelijke-parallelweg/,10-11-2022,Per 01-12-2022,Kamer,,Ja,2022-11-20,Active
Van Mierisstraat,Haag Schildersbuurt-Noord,2526 NS,Den Haag,950,55,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/den-haag/1324122/van-mierisstraat/,10-11-2022,Per 16-12-2022,Appartement,,Nee,2022-11-20,Active
Noordkade,Kern,3201 AZ,Spijkenisse,1895,100,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/spijkenisse/1324121/noordkade/,10-11-2022,Per direct,Appartement,2010.0,Nee,2022-11-20,Active
Broerenstraat,Markt,6811 EB,Arnhem,1450,81,3.0,Kaal,https://www.huurwoningen.nl/huren/arnhem/1324119/broerenstraat/,10-11-2022,Per 01-12-2022,Appartement,2020.0,Nee,2022-11-20,Active
Seinpostweg,Boulevard Midden,2042 AB,Zandvoort,1500,40,1.0,Gemeubileerd,https://www.huurwoningen.nl/huren/zandvoort/1324118/seinpostweg/,10-11-2022,Per direct,Appartement,2022.0,Nee,2022-11-20,Active
Zijlweg,Bloemenbuurt,2015 BJ,Haarlem,1200,35,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/haarlem/1324117/zijlweg/,10-11-2022,Per direct,Appartement,2022.0,Nee,2022-11-20,Active
Anatole Franceplaats,Ommoord,3069 BE,Rotterdam,1195,85,1.0,Kaal,https://www.huurwoningen.nl/huren/rotterdam/1324115/anatole-franceplaats/,10-11-2022,Per direct,Appartement,,Ja,2022-11-20,Active
Dorpsstraat,Eckelrade,6251 NA,Eckelrade,1995,216,5.0,,https://www.huurwoningen.nl/huren/eckelrade/1324114/dorpsstraat/,10-11-2022,Per 01-12-2022,Huis,1680.0,Nee,2022-11-20,Active
Paradijslaan,Nieuw Crooswijk,3034 ST,Rotterdam,1350,75,4.0,,https://www.huurwoningen.nl/huren/rotterdam/1324113/paradijslaan/,10-11-2022,Per 01-12-2022,Appartement,1922.0,Nee,2022-11-20,Active
Verdistraat,De Noork,7557 SG,Hengelo,800,65,3.0,Kaal,https://www.huurwoningen.nl/huren/hengelo/1324109/verdistraat/,10-11-2022,Per direct,Appartement,1965.0,Nee,2022-11-20,Active
Maastrichter Heidenstraat,Jekerkwartier,6211 HV,Maastricht,990,20,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/maastricht/1324108/maastrichter-heidenstraat/,10-11-2022,Per 01-12-2022,Studio,,Nee,2022-11-20,Active
Blekerij,Villapark,6212 XZ,Maastricht,1475,81,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/maastricht/1324107/blekerij/,10-11-2022,Per 01-01-2023,Appartement,,Ja,2022-11-20,Active
Groningerstraat,Puntenburg,3812 EG,Amersfoort,1495,97,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/amersfoort/1324101/groningerstraat/,10-11-2022,Per 01-01-2023,Appartement,,Nee,2022-11-20,Active
Enckelaan,Brandenburg,3721 TB,Bilthoven,1445,102,5.0,Kaal,https://www.huurwoningen.nl/huren/bilthoven/1324099/enckelaan/,10-11-2022,Per direct,Huis,,Nee,2022-11-20,Active
Plaswijcklaan,Hillegersberg Noord,3054 CM,Rotterdam,2850,118,4.0,,https://www.huurwoningen.nl/huren/rotterdam/1324097/plaswijcklaan/,10-11-2022,Per direct,Huis,2003.0,Nee,2022-11-20,Active
Noordweg,Pijnacker Noord,2641 AN,Pijnacker,1950,131,5.0,Gestoffeerd,https://www.huurwoningen.nl/huren/pijnacker/1324096/noordweg/,10-11-2022,Per 02-01-2023,Huis,1920.0,Nee,2022-11-20,Active
Kort-Ambachtlaan,Bloemenbuurt Hyacinth - LObelia,3333 EP,Zwijndrecht,1025,85,3.0,,https://www.huurwoningen.nl/huren/zwijndrecht/1324092/kort-ambachtlaan/,10-11-2022,Per direct,Appartement,2006.0,Nee,2022-11-20,Active
Zelzatestraat,Wisselaar,4826 CA,Breda,1450,80,5.0,Gemeubileerd,https://www.huurwoningen.nl/huren/breda/1324091/zelzatestraat/,10-11-2022,Per 01-12-2022,Huis,1966.0,Nee,2022-11-20,Active
Breestraat,Centrum-Zuidwest,2611 RE,Delft,1260,52,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/delft/1324090/breestraat/,10-11-2022,Per 01-01-2023,Appartement,,Ja,2022-11-20,Active
Kloksteeg,Centrum-West,2611 BL,Delft,1200,70,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/delft/1324089/kloksteeg/,10-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Kerktorenstraat,D'Ekker,5503 PA,Veldhoven,1650,120,5.0,Gemeubileerd,https://www.huurwoningen.nl/huren/veldhoven/1324088/kerktorenstraat/,10-11-2022,Per 01-01-2023,Huis,,Ja,2022-11-20,Active
Vissersdijk,Stadsdriehoek,3011 GW,Rotterdam,1475,108,3.0,,https://www.huurwoningen.nl/huren/rotterdam/1324087/vissersdijk/,10-11-2022,Per direct,Appartement,2005.0,Nee,2022-11-20,Active
Vissersdijk,Stadsdriehoek,3011 GW,Rotterdam,1562,105,3.0,,https://www.huurwoningen.nl/huren/rotterdam/1324086/vissersdijk/,10-11-2022,Per direct,Appartement,2005.0,Nee,2022-11-20,Active
Vissersdijk,Stadsdriehoek,3011 GW,Rotterdam,1590,130,3.0,Kaal,https://www.huurwoningen.nl/huren/rotterdam/1324085/vissersdijk/,10-11-2022,Per direct,Appartement,2005.0,Nee,2022-11-20,Active
Antillen,Lunetten-Zuid,3524 EZ,Utrecht,1995,140,5.0,,https://www.huurwoningen.nl/huren/utrecht/1324082/antillen/,10-11-2022,Per direct,Huis,,Ja,2022-11-20,Active
Frerikshuislaan,Vriezenveenseweg en omgeving Haghoek West,7602 BD,Almelo,850,90,3.0,,https://www.huurwoningen.nl/huren/almelo/1324081/frerikshuislaan/,10-11-2022,Per 01-12-2022,Appartement,1966.0,Nee,2022-11-20,Active
Sluiskade Zuidzijde,Java en omgeving,7607 XT,Almelo,975,100,2.0,,https://www.huurwoningen.nl/huren/almelo/1324080/sluiskade-zuidzijde/,10-11-2022,Per 15-12-2022,Appartement,2022.0,Nee,2022-11-20,Active
Welnastraat,Omval/Overamstel,1096 GJ,Amsterdam,1590,28,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/amsterdam/1324077/welnastraat/,10-11-2022,Per 01-12-2022,Appartement,2016.0,Ja,2022-11-20,Active
De Halte,Centrum Ede,6711 NZ,Ede,1150,95,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/ede/1324076/de-halte/,10-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Spruitenbosstraat,Bosch en Vaart,2012 LK,Haarlem,2095,105,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/haarlem/1324074/spruitenbosstraat/,10-11-2022,Per 01-12-2022,Appartement,,Ja,2022-11-20,Active
Bandijk,Bedrijventerrein Werkendam,4251 NT,Werkendam,1150,70,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/werkendam/1324073/bandijk/,10-11-2022,Per direct,Appartement,1880.0,Nee,2022-11-20,Active
Molenstraat,Centrum,2171 GN,Sassenheim,2900,167,6.0,Gemeubileerd,https://www.huurwoningen.nl/huren/sassenheim/1324071/molenstraat/,10-11-2022,Per direct,Huis,1987.0,Nee,2022-11-20,Active
Melodiestraat,Haag Kom Loosduinen,2553 VH,Den Haag,1450,83,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/den-haag/1324069/melodiestraat/,10-11-2022,Per 01-12-2022,Appartement,1925.0,Ja,2022-11-20,Active
Herculesstraat,Tubantia-Toekomst,7521 DK,Enschede,1250,75,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/enschede/1324064/herculesstraat/,10-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
Kornoelje,Het Bramelt,7421 DG,Deventer,1150,85,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/deventer/1324063/kornoelje/,10-11-2022,Per 05-12-2022,Huis,,Ja,2022-11-20,Active
Frederik van Eedenlaan,Staatsliedenkwartier,1215 EM,Hilversum,1150,55,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/hilversum/1324058/frederik-van-eedenlaan/,10-11-2022,Per 01-01-2023,Appartement,1950.0,Nee,2022-11-20,Active
Cassandraplein,Oude Gracht-West,5631 BA,Eindhoven,1500,37,2.0,,https://www.huurwoningen.nl/huren/eindhoven/1324055/cassandraplein/,10-11-2022,Per 01-09-2023,Appartement,2010.0,Nee,2022-11-20,Active
Prinses Beatrixstraat,Schandelen,6412 AH,Heerlen,910,84,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/heerlen/1324054/prinses-beatrixstraat/,10-11-2022,Per direct,Appartement,1948.0,Ja,2022-11-20,Active
Pieter Janszstraat,Van Gelderbuurt,1951 GZ,Velsen-Noord,1375,62,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/velsen-noord/1324052/pieter-janszstraat/,10-11-2022,Per direct,Appartement,1932.0,Ja,2022-11-20,Active
Nieuweweg,City,4811 LW,Breda,1575,140,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/breda/1324047/nieuweweg/,10-11-2022,Per 01-12-2022,Appartement,2009.0,Ja,2022-11-20,Active
Bredewater,Meerzicht-Oost,2715 CA,Zoetermeer,880,48,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/zoetermeer/1324046/bredewater/,10-11-2022,Per 01-12-2022,Appartement,2016.0,Ja,2022-11-20,Active
Brinklaan,Brinklaan,1404 EZ,Bussum,695,22,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/bussum/1324045/brinklaan/,10-11-2022,Per 01-12-2022,Appartement,2010.0,Ja,2022-11-20,Active
Kapellestraat,Kern Oudewater,3421 CV,Oudewater,1300,76,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/oudewater/1324040/kapellestraat/,10-11-2022,Per 15-12-2022,Appartement,,Ja,2022-11-20,Active
Roserije,De Heeg,6228 DP,Maastricht,1250,108,5.0,Gemeubileerd,https://www.huurwoningen.nl/huren/maastricht/1324039/roserije/,10-11-2022,Per direct,Appartement,1982.0,Nee,2022-11-20,Active
Valbrug,Braken-Oost,5151 VZ,Drunen,1650,135,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/drunen/1323683/valbrug/,10-11-2022,Per 01-02-2023,Huis,2018.0,Ja,2022-11-20,Active
Giek,Stad en Lande,1276 JE,Huizen,1750,144,5.0,Gemeubileerd,https://www.huurwoningen.nl/huren/huizen/1230899/giek/,10-11-2022,Per 15-02-2023,Huis,1969.0,Ja,2022-11-20,Active
Laan der Hesperiden,Stadionbuurt,1076 DK,Amsterdam,3250,127,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/amsterdam/1324031/laan-der-hesperiden/,10-11-2022,Per direct,Appartement,1928.0,Nee,2022-11-20,Active
Huyterstraat,Centrum,2611 EL,Delft,1450,94,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/delft/1324027/huyterstraat/,10-11-2022,Per direct,Huis,1923.0,Nee,2022-11-20,Active
Amazoneweg,Latijns Amerikabuurt,2622 DT,Delft,1825,119,5.0,Gestoffeerd,https://www.huurwoningen.nl/huren/delft/1324026/amazoneweg/,10-11-2022,Per 01-12-2022,Huis,1993.0,Nee,2022-11-20,Active
Dr. Max Euwestraat,Schaakbuurt en omgeving,3554 EZ,Utrecht,1565,92,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/utrecht/1324025/dr-max-euwestraat/,10-11-2022,Per direct,Appartement,2000.0,Nee,2022-11-20,Active
Stieltjeslaan,Johannes Geradtswegbuurt,1222 RE,Hilversum,3250,184,7.0,,https://www.huurwoningen.nl/huren/hilversum/1324024/stieltjeslaan/,10-11-2022,Per direct,Huis,1931.0,Nee,2022-11-20,Active
Lange Veerstraat,Binnenstad,2011 DA,Haarlem,1250,35,2.0,,https://www.huurwoningen.nl/huren/haarlem/1324022/lange-veerstraat/,10-11-2022,Per 01-12-2022,Appartement,1880.0,Nee,2022-11-20,Active
Tholensstraat,Binnenstad-Java,4531 AP,Terneuzen,1510,86,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/terneuzen/1324021/tholensstraat/,10-11-2022,Per direct,Huis,1932.0,Nee,2022-11-20,Active
Harmenjansweg,Burgwal,2011 AZ,Haarlem,1485,59,2.0,,https://www.huurwoningen.nl/huren/haarlem/1324020/harmenjansweg/,10-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
Sint Maartenslaan,Wyck,6221 AC,Maastricht,1600,104,5.0,,https://www.huurwoningen.nl/huren/maastricht/1324019/sint-maartenslaan/,10-11-2022,Per direct,Appartement,1989.0,Nee,2022-11-20,Active
Sibberkerkstraat,Sibbe,6301 AW,Valkenburg,1100,120,6.0,,https://www.huurwoningen.nl/huren/valkenburg-lb/1324018/sibberkerkstraat/,10-11-2022,Per 15-12-2022,Huis,,Nee,2022-11-20,Active
Mulderstraat,Buiten Wittevrouwen,3581 GN,Utrecht,2500,145,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/utrecht/1324013/mulderstraat/,10-11-2022,Per direct,Huis,1906.0,Nee,2022-11-20,Active
Mercuriusplein,Berlicum,5258 AW,Berlicum,1050,60,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/berlicum/1324011/mercuriusplein/,10-11-2022,Per 01-02-2023,Appartement,,Ja,2022-11-20,Active
Jaagpad,Hoofddorppleinbuurt,1059 BN,Amsterdam,3250,150,5.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1324008/jaagpad/,10-11-2022,Per direct,Huis,,Ja,2022-11-20,Active
Dorpsstraat,Krabbendijke - Kern,4413 BN,Krabbendijke,900,95,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/krabbendijke/1324002/dorpsstraat/,09-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
St.-Sebastiaanhof,Schoonveld,5262 BH,Vught,1500,110,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/vught/1324000/st-sebastiaanhof/,09-11-2022,Per 01-01-2023,Huis,,Ja,2022-11-20,Active
Brouwersgracht,Grachtengordel-West,1015 GC,Amsterdam,4950,160,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1323997/brouwersgracht/,09-11-2022,Per direct,Appartement,1837.0,Nee,2022-11-20,Active
Jakop Slegthof,Leeuwenveld,1384 AC,Weesp,2850,139,6.0,Gemeubileerd,https://www.huurwoningen.nl/huren/weesp/1323996/jakop-slegthof/,09-11-2022,Per direct,Huis,2016.0,Nee,2022-11-20,Active
Laan van Westenenk,Brouwersmolen-Zuid,7336 AZ,Apeldoorn,575,18,1.0,Gemeubileerd,https://www.huurwoningen.nl/huren/apeldoorn/1323995/laan-van-westenenk/,09-11-2022,Per direct,Kamer,,Nee,2022-11-20,Active
Van Tuyll van Serooskerkenweg,Stadionbuurt,1076 JG,Amsterdam,3375,115,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/amsterdam/1323993/van-tuyll-van-serooskerkenweg/,09-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
Kleiweg,Nieuwe Markt e.o.,2801 GD,Gouda,1150,45,2.0,,https://www.huurwoningen.nl/huren/gouda/1323990/kleiweg/,09-11-2022,Per direct,Appartement,2022.0,Nee,2022-11-20,Active
Kleiweg,Nieuwe Markt e.o.,2801 GD,Gouda,1150,45,2.0,,https://www.huurwoningen.nl/huren/gouda/1323991/kleiweg/,09-11-2022,Per direct,Appartement,2022.0,Nee,2022-11-20,Active
Hoogstraat,Montfoort,3417 HB,Montfoort,995,55,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/montfoort/1323989/hoogstraat/,09-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Beverweide,Binnenweides,3437 TJ,Nieuwegein,1495,111,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/nieuwegein/1323988/beverweide/,09-11-2022,Per 01-12-2022,Huis,1979.0,Ja,2022-11-20,Active
